pyramid_group,subitem,sex,age_band,g_per_capita_per_day,source_note
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,2-5,10.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,2-5,176.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,2-5,195.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,2-5,1.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,2-5,17.850746268656717,split from RTU011 combined meat figure (52.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,2-5,34.14925373134328,split from RTU011 combined meat figure (52.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,2-5,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,6-9,45.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,6-9,133.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,6-9,88.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,6-9,99.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,6-9,376.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,6-9,8.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,6-9,15.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,6-9,14.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,6-9,231.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,6-9,217.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,6-9,1.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,6-9,25.059701492537314,split from RTU011 combined meat figure (73.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,6-9,47.94029850746268,split from RTU011 combined meat figure (73.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,6-9,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,10-13,51.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,10-13,108.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,10-13,86.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,10-13,82.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,10-13,329.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,10-13,10.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,10-13,15.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,10-13,12.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,10-13,239.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,10-13,221.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,10-13,0.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,10-13,23.686567164179102,split from RTU011 combined meat figure (69.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,10-13,45.31343283582089,split from RTU011 combined meat figure (69.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,10-13,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,14-17,48.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,14-17,82.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,14-17,85.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,14-17,103.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,14-17,258.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,14-17,9.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,14-17,15.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,14-17,12.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,14-17,202.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,14-17,198.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,14-17,2.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,14-17,28.492537313432834,split from RTU011 combined meat figure (83.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,14-17,54.50746268656716,split from RTU011 combined meat figure (83.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,14-17,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,18-24,48.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,18-24,127.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,18-24,65.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,18-24,114.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,18-24,273.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,18-24,15.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,18-24,20.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,18-24,14.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,18-24,197.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,18-24,211.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,18-24,5.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,18-24,30.55223880597015,split from RTU011 combined meat figure (89.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,18-24,58.447761194029844,split from RTU011 combined meat figure (89.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,18-24,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,25-29,53.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,25-29,137.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,25-29,66.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,25-29,147.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,25-29,288.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,25-29,21.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,25-29,24.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,25-29,18.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,25-29,176.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,25-29,225.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,25-29,5.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,25-29,35.701492537313435,split from RTU011 combined meat figure (104.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,25-29,68.29850746268656,split from RTU011 combined meat figure (104.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,25-29,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,30-34,56.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,30-34,151.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,30-34,77.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,30-34,145.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,30-34,308.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,30-34,21.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,30-34,20.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,30-34,22.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,30-34,155.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,30-34,239.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,30-34,5.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,30-34,36.04477611940298,split from RTU011 combined meat figure (105.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,30-34,68.955223880597,split from RTU011 combined meat figure (105.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,30-34,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,35-39,64.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,35-39,130.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,35-39,75.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,35-39,145.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,35-39,291.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,35-39,21.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,35-39,20.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,35-39,16.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,35-39,145.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,35-39,229.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,35-39,8.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,35-39,32.95522388059702,split from RTU011 combined meat figure (96.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,35-39,63.044776119402975,split from RTU011 combined meat figure (96.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,35-39,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,40-44,62.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,40-44,109.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,40-44,81.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,40-44,141.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,40-44,248.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,40-44,21.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,40-44,21.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,40-44,16.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,40-44,132.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,40-44,242.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,40-44,3.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,40-44,28.492537313432834,split from RTU011 combined meat figure (83.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,40-44,54.50746268656716,split from RTU011 combined meat figure (83.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,40-44,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,45-49,60.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,45-49,89.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,45-49,84.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,45-49,159.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,45-49,242.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,45-49,24.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,45-49,18.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,45-49,15.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,45-49,116.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,45-49,237.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,45-49,5.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,45-49,28.83582089552239,split from RTU011 combined meat figure (84.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,45-49,55.164179104477604,split from RTU011 combined meat figure (84.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,45-49,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,50-54,55.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,50-54,113.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,50-54,72.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,50-54,153.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,50-54,244.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,50-54,27.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,50-54,21.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,50-54,18.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,50-54,111.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,50-54,250.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,50-54,5.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,50-54,27.119402985074625,split from RTU011 combined meat figure (79.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,50-54,51.880597014925364,split from RTU011 combined meat figure (79.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,50-54,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,55-59,67.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,55-59,123.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,55-59,85.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,55-59,156.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,55-59,252.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,55-59,26.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,55-59,24.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,55-59,17.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,55-59,97.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,55-59,252.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,55-59,3.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,55-59,31.238805970149254,split from RTU011 combined meat figure (91.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,55-59,59.761194029850735,split from RTU011 combined meat figure (91.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,55-59,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,60-64,66.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,60-64,119.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,60-64,85.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,60-64,134.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,60-64,235.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,60-64,30.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,60-64,16.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,60-64,18.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,60-64,86.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,60-64,230.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,60-64,3.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,60-64,31.238805970149254,split from RTU011 combined meat figure (91.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,60-64,59.761194029850735,split from RTU011 combined meat figure (91.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,60-64,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,65-69,78.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,65-69,127.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,65-69,78.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,65-69,142.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,65-69,265.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,65-69,29.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,65-69,15.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,65-69,18.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,65-69,102.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,65-69,225.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,65-69,2.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,65-69,29.865671641791042,split from RTU011 combined meat figure (87.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,65-69,57.13432835820895,split from RTU011 combined meat figure (87.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,65-69,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,female,70-74,71.0,"direct from RTU011 '..leib, sepik, sai'"
Grain products & potatoes,Porridges/pasta/rice/grain products,female,70-74,107.0,"direct from RTU011 '..pudrud, riis, makaronid'"
Grain products & potatoes,"Potato, sweet potato",female,70-74,78.0,direct from RTU011 '..kartul'
"Vegetables, fruits & berries",Vegetables,female,70-74,134.0,direct from RTU011 '..köögiviljad'
Dairy products,(total),female,70-74,245.0,direct from RTU011 'Piim ja piimatooted'
"Fish, eggs & meat",Fish & seafood,female,70-74,21.0,direct from RTU011 '..kala ja kalatooted'
"Fish, eggs & meat",Eggs,female,70-74,17.0,direct from RTU011 '..muna ja munatooted'
"Nuts, seeds, oils & fats",Oils/fats/spreads,female,70-74,14.0,"direct from RTU011 '..õliviljad, õlid, võiderasvad'"
"Sweets, snacks & discretionary",(total),female,70-74,80.0,"direct from RTU011 'Suhkur, magusad ja soolased näksid'"
"Vegetables, fruits & berries",Fruits+Berries (combined),female,70-74,249.0,direct from RTU011 '..puuviljad ja marjad' (RTU cannot split further; compare vs combined Phase-3 target)
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",female,70-74,3.0,"direct from RTU011 '..seemned, pähklid jm' (RTU cannot split further; compare vs combined Phase-3 target)"
"Fish, eggs & meat",Poultry,female,70-74,28.149253731343283,split from RTU011 combined meat figure (82.0g) using PM42 2024 per-capita share poultry/(beef+pork+sheep_goat+offals+poultry)=0.3433
"Fish, eggs & meat",Red meat,female,70-74,53.85074626865671,split from RTU011 combined meat figure (82.0g) using PM42 2024 per-capita share (beef+pork+sheep_goat+offals)/total=0.6567
"Vegetables, fruits & berries",Legumes,female,70-74,,NOT MEASURED: no RTU011 category covers legumes (see food_group_crosswalk.csv gap note); do not treat as zero
Grain products & potatoes,High-fibre bread/baked goods,male,75+,111.0,"direct from RTU011 '..leib, sepik, sai' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)"
Grain products & potatoes,Porridges/pasta/rice/grain products,male,75+,151.0,"direct from RTU011 '..pudrud, riis, makaronid' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)"
Grain products & potatoes,"Potato, sweet potato",male,75+,116.0,direct from RTU011 '..kartul' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
"Vegetables, fruits & berries",Vegetables,male,75+,127.0,direct from RTU011 '..köögiviljad' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
Dairy products,(total),male,75+,285.0,direct from RTU011 'Piim ja piimatooted' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
"Fish, eggs & meat",Fish & seafood,male,75+,36.0,direct from RTU011 '..kala ja kalatooted' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
"Fish, eggs & meat",Eggs,male,75+,25.0,direct from RTU011 '..muna ja munatooted' | age 75+ uses the 70-74 value as a proxy (RTU011 has no data past 74; see demographic_grid.md)
